gateway,gw_lat,gw_lon,gw_elevation
7276ff002e06029f,16.074132919311523,108.15241241455078,14.0
7276ff002e06029f,16.074134826660156,108.15239715576172,14.0
7276ff002e06029f,16.074142456054688,108.15241241455078,14.0
7276ff002e06029f,16.074148178100586,108.15242004394533,14.0
7276ff002e06029f,16.07415008544922,108.15241241455078,14.0
7276ff002e061f5b,16.075563430786133,108.22210693359376,8.0
7276ff002e061f5b,16.0755672454834,108.22209167480467,8.0
7276ff002e061f5b,16.075571060180664,108.22206115722656,9.0
7276ff002e061f5b,16.075571060180664,108.22209930419922,8.0
7276ff002e061f5b,16.075572967529297,108.22205352783205,9.0
7276ff002e061f5b,16.07557487487793,108.22207641601562,9.0
7276ff002e061f5b,16.075576782226562,108.2220458984375,9.0
7276ff002e061f5b,16.075576782226562,108.22209167480467,8.0
7276ff002e061f5b,16.075576782226562,108.22209930419922,8.0
7276ff002e061f5b,16.075580596923828,108.22206115722656,9.0
7276ff002e061f5b,16.075580596923828,108.2220687866211,9.0
7276ff002e061f5b,16.075580596923828,108.22208404541016,8.0
7276ff002e061f5b,16.075586318969727,108.22209167480467,8.0
7276ff002e061f5b,16.075592041015625,108.22206115722656,9.0
7276ff002e061f5b,16.075592041015625,108.2220687866211,9.0
7276ff002e061f5b,16.075592041015625,108.22209930419922,8.0
7276ff002e061f5b,16.075593948364258,108.22205352783205,9.0
7276ff002e061f5b,16.075593948364258,108.22207641601562,9.0
7276ff002e061f5b,16.075593948364258,108.22210693359376,8.0
7276ff002e061f5b,16.075597763061523,108.22205352783205,9.0
7276ff002e061f5b,16.075597763061523,108.22206115722656,9.0
7276ff002e061f5b,16.075597763061523,108.22209167480467,8.0
7276ff002e061f5b,16.07560157775879,108.22210693359376,8.0
7276ff002e061f5b,16.075603485107422,108.2220687866211,9.0
7276ff002e061f5b,16.075603485107422,108.22207641601562,9.0
7276ff002e061f5b,16.075603485107422,108.22209930419922,8.0
7276ff002e061f5b,16.075603485107422,108.2221221923828,8.0
7276ff002e061f5b,16.075605392456055,108.2220687866211,9.0
7276ff002e061f5b,16.075605392456055,108.22207641601562,9.0
7276ff002e061f5b,16.07560920715332,108.22209167480467,8.0
7276ff002e061f5b,16.07560920715332,108.22209930419922,8.0
7276ff002e061f5b,16.07560920715332,108.22211456298828,8.0
7276ff002e061f5b,16.075611114501953,108.22205352783205,9.0
7276ff002e061f5b,16.07561492919922,108.22203826904295,9.0
7276ff002e061f5b,16.07561492919922,108.22206115722656,9.0
7276ff002e061f5b,16.07561683654785,108.22207641601562,9.0
7276ff002e061f5b,16.07561683654785,108.22209167480467,8.0
7276ff002e061f5b,16.075618743896484,108.2220458984375,9.0
7276ff002e061f5b,16.075618743896484,108.22206115722656,9.0
7276ff002e061f5b,16.075618743896484,108.22209930419922,8.0
7276ff002e061f5b,16.075620651245117,108.22203063964844,9.0
7276ff002e061f5b,16.07562255859375,108.22203826904295,9.0
7276ff002e061f5b,16.075624465942383,108.2220687866211,9.0
7276ff002e061f5b,16.075626373291016,108.2220687866211,9.0
7276ff002e061f5b,16.07562828063965,108.22203063964844,9.0
7276ff002e061f5b,16.07562828063965,108.22206115722656,9.0
7276ff002e061f5b,16.07562828063965,108.22207641601562,9.0
7276ff002e061f5b,16.075632095336914,108.22203826904295,9.0
7276ff002e061f5b,16.075632095336914,108.22209167480467,8.0
7276ff002e061f5b,16.075634002685547,108.22205352783205,9.0
7276ff002e061f5b,16.075634002685547,108.22209930419922,8.0
7276ff002e061f5b,16.075634002685547,108.22210693359376,8.0
7276ff002e061f5b,16.07563591003418,108.22203063964844,9.0
7276ff002e061f5b,16.07563591003418,108.22209930419922,8.0
7276ff002e061f5b,16.075637817382812,108.22203826904295,9.0
7276ff002e061f5b,16.075637817382812,108.22210693359376,8.0
7276ff002e061f5b,16.075639724731445,108.22206115722656,9.0
7276ff002e061f5b,16.075639724731445,108.22209167480467,8.0
7276ff002e061f5b,16.075641632080078,108.2220458984375,9.0
7276ff002e061f5b,16.075641632080078,108.22207641601562,9.0
7276ff002e061f5b,16.07564353942871,108.2220687866211,9.0
7276ff002e061f5b,16.075645446777344,108.2220458984375,9.0
7276ff002e061f5b,16.075645446777344,108.2221450805664,8.0
7276ff002e061f5b,16.075647354125977,108.22207641601562,9.0
7276ff002e061f5b,16.07564926147461,108.22213745117188,8.0
7276ff002e061f5b,16.075653076171875,108.2220687866211,9.0
7276ff002e061f5b,16.075653076171875,108.22209930419922,8.0
7276ff002e061f5b,16.075654983520508,108.22206115722656,9.0
7276ff002e061f5b,16.075654983520508,108.22209167480467,8.0
7276ff002e061f5b,16.07565689086914,108.22206115722656,9.0
7276ff002e061f5b,16.07565689086914,108.22208404541016,8.0
7276ff002e061f5b,16.07565689086914,108.22209167480467,8.0
7276ff002e061f5b,16.07565689086914,108.22209930419922,8.0
