device,lat,lon,gateway,gw_lat,gw_lon,rssi,snr,time,frequency,bandwidth,spreading_factor
board01,16.074514100000002,108.15289969999999,a840411eebb44150,16.0740984,108.15253,-83,1.8,2026-02-02T07:06:16.986773+00:00,922200000,125000,12
board01,16.074561,108.1531534,a840411eebb44150,16.0740984,108.15253,-93,2.5,2026-02-02T07:06:02.987633+00:00,922200000,125000,12
board01,16.0748296,108.15278249999999,a840411eebb44150,16.0740984,108.15253,-106,-12.5,2026-02-02T07:05:48.989349+00:00,922200000,125000,12
board01,16.0745237,108.15208809999999,a840411eebb44150,16.0740984,108.15253,-79,4.0,2026-02-02T07:05:34.993915+00:00,922200000,125000,12
board01,16.074302,108.15162749999999,a840411eebb44150,16.0740984,108.15253,-98,-4.5,2026-02-02T07:05:20.997977+00:00,922200000,125000,12
board01,16.0742978,108.15264959999998,a840411eebb44150,16.0740984,108.15253,-71,5.5,2026-02-02T01:19:30.023280+00:00,922200000,125000,12
board01,16.074298000000002,108.1530511,a840411eebb44150,16.0740984,108.15253,-81,5.8,2026-02-02T01:19:00.028571+00:00,922200000,125000,12
board01,16.074651,108.15459760000002,a840411eebb44150,16.0740984,108.15253,-102,-8.2,2026-02-02T01:18:30.036976+00:00,922200000,125000,12
board01,16.073,108.15027349999998,a840411eebb44150,16.0740984,108.15253,-98,-3.5,2026-02-01T06:54:08.673962+00:00,922200000,125000,12
board01,16.073047600000002,108.15040459999997,a840411eebb44150,16.0740984,108.15253,-104,-9.8,2026-02-01T06:53:53.673289+00:00,922200000,125000,12
board01,16.0730614,108.15040059999997,a840411eebb44150,16.0740984,108.15253,-100,-5.2,2026-02-01T06:53:38.678416+00:00,922200000,125000,12
board01,16.073073700000002,108.15041390000002,a840411eebb44150,16.0740984,108.15253,-103,-10.0,2026-02-01T06:53:23.679919+00:00,922200000,125000,12
board01,16.0733558,108.15110519999999,a840411eebb44150,16.0740984,108.15253,-81,2.0,2026-02-01T06:53:08.684148+00:00,922200000,125000,12
board01,16.0737941,108.1521872,a840411eebb44150,16.0740984,108.15253,-66,8.5,2026-02-01T06:52:53.682836+00:00,922200000,125000,12
board01,16.074138400000002,108.15305519999997,a840411eebb44150,16.0740984,108.15253,-76,7.8,2026-02-01T06:52:39.084918+00:00,922200000,125000,12
board01,16.0744756,108.15411750000001,a840411eebb44150,16.0740984,108.15253,-102,-7.5,2026-02-01T06:52:23.990849+00:00,922200000,125000,12
board01,16.075103199999997,108.1558031,a840411eebb44150,16.0740984,108.15253,-115,-19.8,2026-01-31T10:34:27.034957+00:00,922200000,125000,12
board01,16.0746375,108.1546107,a840411eebb44150,16.0740984,108.15253,-104,-10.2,2026-01-31T10:34:12.031617+00:00,922200000,125000,12
